code;name;country
2300051;First Division;Malta
2300052;Lower Divisions;Malta
5103714;Isthmian Premier;United Kingdom
5103716;Northern Premier League;United Kingdom
5111904;SL - Division One South;United Kingdom
5111905;SL - Division One Central;United Kingdom
5123054;Vanarama North;United Kingdom
5123055;Vanarama South;United Kingdom
5209094;Scottish Amateurs;United Kingdom
5250792;First Division;Chile
5250793;First Division B;Chile
5250794;Third Division A;Chile
5260948;First Division;Colombia
5260950;Second Division;Colombia
5290551;First Division;Peru
5290552;Copa Peru;Peru
5290553;Second Division;Peru
5314301;Premier League;Ukraine
5314302;First League;Ukraine
5314303;Second League - Group A;Ukraine
5314304;Second League - Group B;Ukraine
5314306;Lower Division;Ukraine
5340000;National Division;Luxembourg
5340022;Promotion Division;Luxembourg
5395850;Premier League;Singapore
5395852;Lower Division;Singapore
5512770;First Division;Uruguay
5512771;Second Division;Uruguay
5512772;Third Division;Uruguay
5607687;Regional Division Central;Austria
5624449;Premier League;Hong Kong
5624450;First Division;Hong Kong
5624525;National Football League;India
5624536;Super League;Malaysia
5624537;Premier League;Malaysia
5624920;Thai League;Thailand
5627655;Amateur League;China
5629952;Premier League;Lebanon
5630003;Lower Division;Lebanon
5630004;Premier League;Pakistan
5630062;Premier League;Bangladesh
5630248;First Division;Macao
5630266;Lower Division;Macao
5630268;Second Division;Macao
5630275;Super League;Brunei Darussalam
5631613;Second Division;Lebanon
5632126;Stars League;Qatar
5632158;Q-League;Qatar
5632916;Soccer League;Guam
5633774;Premier League;Sri Lanka
5634047;Lower Division;Sri Lanka
5634246;Premier League;Laos
5635022;Premier League;Syria
5635278;Pro-League;Jordan
5635282;First Division;Jordan
5635283;Lower Division;Jordan
5635469;NFL Division 2;Singapore
5637986;Thai League 2;Thailand
5638034;Lower Division;Maldives
5638083;Higher League;Turkmenistan
5638107;Lower Division;Turkmenistan
5707678;N-League;South Korea
5724964;First League Group 1;Switzerland
5724965;First League Group 2;Switzerland
5724966;First League Group 3;Liechtenstein
5745020;First League;Montenegro
5754884;Second League Vojvodina;Serbia
5754885;Second League Belgrade;Serbia
5754888;Second League;Montenegro
5770142;Second League West;Serbia
5770143;Second League East;Serbia
5776050;First League;Serbia
6400089;Third Division MG;Sweden
6400090;Third Division MN;Sweden
6400091;Third Division NN;Sweden
6400092;Third Division NS;Sweden
6400093;Third Division NWG;Sweden
6400094;Third Division NEG;Sweden
6400095;Third Division SG;Sweden
6400096;Third Division SN;Sweden
6400097;Third Division SWG;Sweden
6400098;Third Division SEG;Sweden
6400099;Third Division WS;Sweden
6400100;Third Division SS;Sweden
7400001;Lower Division;Hong Kong
7400579;Second Division;Hong Kong
7460105;Lower Division;Thailand
7483354;Highest League;Belarus
7483366;First League;Belarus
7483369;Second League;Belarus
