code;value
;Justi
;Kachuba
;Kadri
;Kai
;Kaiyuan
;Kal
;Kalu
;Kaniki
;Kanú
;Karanga
;Kath
;Kattah
;Kaufmann
;Kayser
;Kazu
;Kelven
;Ken
;Ki-Hee
;Kiss
;Kivel
;Klein
;Klysman
;Kolln
;Kruger
;Kunde
;Kuspiosz
;Kyei
;Kyoung-Rok
;Kyu-Bin
;Lacerda
;Lago
;Lalau
;Lang
;Lazari
;Lazaroni
;Leal
;Leandro
;Leiria
;Leite
;Leiva
;Lemos
;Lennon
;León
;Leonardo
;Leonço
;Leoni
;Levak
;Levine
;Liangming
;Lianming
;Lianxiang
;Lima
;Lin
;Lindenberg
;Lindoso
;Linhao
;Lino
;Lins
;Lira
;Lírio
;Lisboa
;Liz
;Lobão
;Lobo
;Locatelli
;Lodi
;Lomba
;Lombardi
;Longuine
;Lopes
;Lopez
;López
;Lorenzi
;Loureiro
;Lovat
;Love
;Luca
;Lucas
;Lucca
;Lucena
;Lúcio
;Lugo
;Luis
;Luís
;Luiz
;Lusa
;Luz
;Macaíba
;Macanhan
;Macedo
;Maceió
;Macena
;Machado
;Machowski
;Maciel
;Madona
;Madureira
;Magal
;Magalhães
;Magrão
;Magro
;Maia
;Malheiros
;Mamadeira
;Mancha
;Mancini
;Mandacaru
;Mandaí
;Mangabeira
;Manoel
;Mantuan
;Manuel
;Marabaixo
;Maradona
;Maranhão
;Maranhense
;Marcelin
;Marcelina
;Marciel
;Marcondele
;Mardden
;Mari
;Mário
;Mariotto
;Marmentini
;Marques
;Marreco
;Martelo
;Martim
;Martín
;Martínez
;Martinho
;Martins
;Massaia
;Mata
;Mateos
;Mateus
;Matheus
;Maticoli
;Matos
;Mattioni
;Mattis
;Mattos
;Mauricio
;Maurílio
;Mauro
;Maza
;Medeiros
;Melao
;Mello
;Melo
;Mendes
;Menezes
;Michel
;Michels
;Miguel
;Milanez
;Militão
;Miller
;Minaya
;Mineiro
;Minele
;Miotti
;Miracema
;Miranda
;Moccelin
;Modesto
;Modou
;Mol
;Moledo
;Monteiro
;Moojen
;Moraes
;Morais
;Moralez
;Morassi
;Morbeck
;Moreira
;Morelatto
;Morelli
